neighborhood,LU_1,LU_2,LU_3,LU_4,LU_5,LU_6,LU_7,LU_8,LU_9,LU_10,LU_11,LU_12
Tower Heights,0.15,0.43,0.72,0.67,0.66,-,0.76,0.67,0.12,0.77,0.77,0.29
Tulsa Hills,0.15,0.24,0.26,0.45,0.58,-,0.2,0.06,-,0.34,0.28,-
Turkey Mountain,0.22,0.43,0.47,0.5,0.3,-,0.89,0.48,0.24,0.61,0.08,0.28
Turner Park,0.83,0.33,0.68,0.42,0.64,-,1,0.86,0.1,0.98,0.9,0.42
Vensel Creek,0.1,0.76,0.42,0.76,0.65,0.02,0.63,0.73,0.02,0.32,0.63,-
Walt Whitman,0.81,0.31,0.81,0.21,0.56,0.34,0.58,0.76,-,0.84,0.17,1
Wedgwood-Crowell Heights,0.49,0.36,0.94,0.89,0.72,0.02,0.7,1,0.07,1,0.82,-
West Brookside,0.21,0.88,0.71,0.94,0.95,0.06,1,0.97,0.17,0.82,1,-
Western Village,0.27,0.43,0.5,0.47,0.28,-,0.98,0.78,0.29,0.7,0.19,0.02
Whiteside,0.28,0.94,0.79,0.97,0.9,0.19,0.91,1,0.52,0.84,1,-
Woodland Hills,0.28,0.68,0.29,0.83,0.78,-,0.73,0.88,-,0.2,0.96,-
Woodward Park,0.38,0.72,0.49,0.87,0.6,-,0.81,0.72,0.2,0.53,0.9,-
